"Name","L&G Fund Code","ISIN","Asset class","Style","ABI sector","Benchmark","Investment management charge","Additional expenses","Basic annual management charge","External funds annual management charge","Fund management charge","Fact sheet"
"L&G PMC 2035 - 2040 Target Date Fund G25","BF6Y","GB00BJXRGD51","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/4803df20-9e1b-450c-9e91-842c5f18200f/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2035-2040-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2040 - 2045 Target Date Fund G25","BF7Y","GB00BJXRGF75","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/117c22db-41b2-46fe-8e76-f0cf9780287f/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2040-2045-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2045 - 2050 Target Date Fund G25","BF8Y","GB00BJXRGG82","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/c0f9c44e-797c-4c1d-9f2d-a8f91f1f5ac7/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2045-2050-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2050 - 2055 Target Date Fund G25","BF9Y","GB00BJXRGH99","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/0acb3ad3-749d-42d5-95df-f1ffce5889f6/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2050-2055-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2055 - 2060 Target Date Fund G25","BF0Y","GB00BJXRGJ14","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/825c4d33-93a7-41c8-80aa-72806e3918b0/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2055-2060-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2060 - 2065 Target Date Fund G25","BG1Y","GB00BJXRGK29","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/be15d7da-f6a3-412d-86f8-372e0c4c6a2d/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2060-2065-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2065 - 2070 Target Date Fund G25","BG2Y","GB00BJXRGL36","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/6d564503-70ba-403f-844c-7b67ce03ae03/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2065-2070-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2070 - 2075 Target Date Fund G25","BQAY","DFKP","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/442d0104-151b-4728-a014-ac320c52eb84/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2070-2075-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC CT Dynamic Real Return G25","B9IY","GB00BD1JSB30","Multi-asset","Active","Specialist","UK Consumer Price Index + 4%","0.65","0","0.65","","0.65","https://fundcentres.lgim.com/srp/documents-id/9c24d531-06dc-4473-8b86-28ba1f21aee9/Fact-Sheet_CT-Dynamic-Real-Return-Fund-LG-PMC-CT-Dynamic-Real-Return-G25.pdf,Fact sheet,English"
"L&G PMC CT Global Select G25","B2PY","GB00BD1JSH91","Equity","Active","Global Equities","MSCI AC World Index","0.55","0.06","0.55","","0.61","https://fundcentres.lgim.com/srp/documents-id/bb098f54-c549-430e-b490-7805c78ce410/Fact-Sheet_CT-Global-Select-Fund-LG-PMC-CT-Global-Select-G25.pdf,Fact sheet,English"
"L&G PMC CT Managed Equity G25","B0EY","GB00BD1JSJ16","Equity","Active","Flexible Investment","Composite. IA Flexible Investment prior to 6 May 2020","0.50","0.09","0.50","","0.59","https://fundcentres.lgim.com/srp/documents-id/2dc69118-fb31-4713-ab0f-9b5431b54782/Fact-Sheet_Threadneedle-Managed-Equity-Fund-LG-PMC-CT-Managed-Equity-G25.pdf,Fact sheet,English"
"L&G PMC UK Equity 5% Capped Passive Fund G25","B8JY","GB00BGYBWX73","Equity","Passive","UK All Companies","Composite of FTSE All-Share Core Index (a customised index) and the performance of the capped single stocks","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/8b77708f-5839-4dcc-b115-a49d3c3187a6/Fact-Sheet_UK-Equity-5-Capped-Passive-Fund-LG-PMC-UK-Equity-5-Capped-Passive-Fund-G25.pdf,Fact sheet,English"
"L&G PMC UK Equity Index Fund G25","B7KY","GB00BGYBWZ97","Equity","Passive","UK All Companies","FTSE All-Share Index","0.150","0","0.150","","0.150","https://fundcentres.lgim.com/srp/documents-id/2e5c4af2-b183-4137-b556-f3aaafec968f/Fact-Sheet_UK-Equity-Index-Fund-LG-PMC-UK-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC UK Smaller Companies Fund G25","B1GY","GB00BGYBX342","Equity","Active","UK Smaller Companies","Numis Smaller Companies ex-Investment Companies Index TR","0.250","0.05","0.250","","0.3","https://fundcentres.lgim.com/srp/documents-id/6a771c2c-6e1e-46cb-9026-8cb61e1af17e/Fact-Sheet_Legal-General-UK-Smaller-Companies-Trust-LG-PMC-UK-Smaller-Companies-Fund-G25.pdf,Fact sheet,English"
"L&G PMC UK Smaller Companies Index G25","B7GY","GB00BD1JSP75","Equity","Passive","UK Smaller Companies","FTSE Small Cap Index","0.27","0","0.27","","0.27","https://fundcentres.lgim.com/srp/documents-id/3383c021-aef3-45ba-ba51-7f9d677b083f/Fact-Sheet_UK-Smaller-Companies-Index-Fund-LG-PMC-UK-Smaller-Companies-Index-G25.pdf,Fact sheet,English"
"L&G PMC World Emerging Markets Equity Index Fund G25","B9JY","GB00BGYBX672","Equity","Passive","Global Emerging Markets Equities","FTSE Emerging Index","0.35","0.01","0.35","","0.36","https://fundcentres.lgim.com/srp/documents-id/7006b0c6-04b1-4301-ad33-6654a80385d1/Fact-Sheet_World-Emerging-Markets-Equity-Index-Fund-LG-PMC-World-Emerging-Markets-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC World (ex UK) Equity Index Fund G25","B8GY","GB00BGYBX565","Equity","Passive","Global Equities","FTSE World (ex UK) Index","0.2","0","0.2","","0.2","https://fundcentres.lgim.com/srp/documents-id/3ca30bbd-7dbb-49a0-b19a-72d2d1531d22/Fact-Sheet_World-ex-UK-Equity-Index-Fund-LG-PMC-World-ex-UK-Equity-Index-Fund-G25.pdf,Fact sheet,English"
